animal,group,slice,y,x
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,179.43227990970655,1298.8843115124153
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,145.5487012987013,955.5324675324675
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,157.21019108280254,1236.4490445859872
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,189.65146332193083,1178.4146712276702
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,201.47912423625255,916.8487780040733
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,183.4,1219.2489795918368
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,219.2129840546697,1110.4066059225513
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,223.12362971985382,1003.0986601705238
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,221.79963898916967,1228.6931407942238
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,241.4833206974981,1359.639120545868
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,234.74550128534705,1198.1516709511568
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,252.2837528604119,1298.1521739130435
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,250.2788990825688,1048.4330275229358
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,270.60714285714283,1269.0575396825398
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,251.1609907120743,943.7275541795666
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,260.65923344947737,1147.3951219512196
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,251.79268292682926,1072.9878048780488
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,268.319563522993,1096.0007794232267
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,268.0648854961832,757.2824427480916
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,267.7873183619551,1332.6221928665786
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,268.25714285714287,1418.7714285714285
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,270.98976109215016,801.679180887372
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,322.90691770679075,1248.943304421409
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,276.17427385892114,1014.6348547717843
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,301.8220338983051,1029.824152542373
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,346.88339570612567,1169.576521567855
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,338.434450867052,1397.674450867052
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,324.39444444444445,1496.1805555555557
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,335.6923076923077,1028.5192307692307
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,332.14596273291926,1056.7391304347825
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,357.6302521008403,1105.3669467787115
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,362.1167315175097,1303.885214007782
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,360.9692671394799,1054.419621749409
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,367.40983606557376,1515.3846153846155
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,381.14285714285717,1342.7924662402274
rat6.3,Gq,DCPP_6.3_10x_mCherry_2-24-22_s1.jpg,402.84189723320156,1409.3847167325428
